osmid,highway,lanes,name,ref,oneway,reversed,length,geometry,speed_kph,service,maxspeed,access,width,bridge,junction,tunnel
1175510102,footway,,,,False,True,5.402182390157891,"LINESTRING (121.2437586 14.1780427, 121.243764 14.178091)",30.0,,,,,,,
1330418541,footway,,,,False,False,1.2285330502166485,"LINESTRING (121.2437586 14.1780427, 121.2437697 14.1780402)",30.0,,,,,,,
"[1175510101, 1175510102, 1175510103]",footway,,,,False,False,17.216688589001205,"LINESTRING (121.2437586 14.1780427, 121.2437562 14.1780219, 121.24375 14.1779674, 121.2437402 14.1778889)",30.0,,,private,,,,
1330418541,footway,,,,False,True,26.847951170746573,"LINESTRING (121.2437586 14.1780427, 121.2435661 14.1780861, 121.2435159 14.1780968)",30.0,,,,,,,
1175510106,footway,,,,False,True,5.318650218036548,"LINESTRING (121.2437697 14.1780402, 121.2437755 14.1780877)",30.0,,,,,,,
1330418541,footway,,,,False,False,12.117751041809537,"LINESTRING (121.2437697 14.1780402, 121.2438792 14.1780156)",30.0,,,,,,,
1330418541,footway,,,,False,True,1.2285330502166485,"LINESTRING (121.2437697 14.1780402, 121.2437586 14.1780427)",30.0,,,,,,,
"[1175510104, 1175510106]",footway,,,,False,False,17.084108161585647,"LINESTRING (121.2437697 14.1780402, 121.2437672 14.1780198, 121.2437566 14.1778871)",30.0,,,private,,,,
1175510108,service,,,,False,True,5.388058078193898,"LINESTRING (121.2438987 14.1780112, 121.2438963 14.1780596)",25.846456692913385,,,,,,,
1330418541,footway,,,,False,True,2.158438175666833,"LINESTRING (121.2438987 14.1780112, 121.2438792 14.1780156)",30.0,,,,,,,
1175510108,service,,,,False,False,20.347512244395823,"LINESTRING (121.2438987 14.1780112, 121.2438999 14.177988, 121.2439093 14.1778285)",25.846456692913385,,,,,,,
1330418541,footway,,,,False,False,19.164110006704348,"LINESTRING (121.2438987 14.1780112, 121.2439383 14.1780022, 121.244073 14.1779775)",30.0,,,,,,,
128600567,service,,,,False,False,5.300883941178023,"LINESTRING (121.2438792 14.1780156, 121.2438765 14.1780632)",25.846456692913385,,,private,,,,
1330418541,footway,,,,False,False,2.158438175666833,"LINESTRING (121.2438792 14.1780156, 121.2438987 14.1780112)",30.0,,,,,,,
1330418541,footway,,,,False,True,12.117751041809537,"LINESTRING (121.2438792 14.1780156, 121.2437697 14.1780402)",30.0,,,,,,,
128600567,service,,,,False,True,62.3301316707459,"LINESTRING (121.2438792 14.1780156, 121.2438806 14.1779909, 121.2438861 14.1778872, 121.2438921 14.1777787, 121.2439119 14.1777684, 121.2439753 14.1774732)",25.846456692913385,,,private,,,,
1175510116,footway,,,,False,True,5.444659576841381,"LINESTRING (121.244073 14.1779775, 121.2440756 14.1780264)",30.0,,,private,,,,
1330418541,footway,,,,False,False,11.180695569126431,"LINESTRING (121.244073 14.1779775, 121.2441749 14.1779588)",30.0,,,,,,,
1175510116,footway,,,,False,False,22.167307665931315,"LINESTRING (121.244073 14.1779775, 121.2440721 14.1779603, 121.2440695 14.177833, 121.2440839 14.17778)",30.0,,,private,,,,
1330418541,footway,,,,False,True,19.164110006704348,"LINESTRING (121.244073 14.1779775, 121.2439383 14.1780022, 121.2438987 14.1780112)",30.0,,,,,,,
265023326,footway,,,,False,True,5.587539249256362,"LINESTRING (121.2441749 14.1779588, 121.2441789 14.1780089)",30.0,,,private,,,,
1330418541,footway,,,,False,True,11.180695569126431,"LINESTRING (121.2441749 14.1779588, 121.244073 14.1779775)",30.0,,,,,,,
265023326,footway,,,,False,False,26.68373951544367,"LINESTRING (121.2441749 14.1779588, 121.2441735 14.1779411, 121.2441704 14.1777189)",30.0,,,private,,,,
1330418541,footway,,,,False,False,83.02032801813874,"LINESTRING (121.2441749 14.1779588, 121.2443849 14.1779203, 121.2448623 14.1778235, 121.2449298 14.1778115)",30.0,,,,,,,
49551232,footway,,,,False,False,5.649080602433499,"LINESTRING (121.2449298 14.1778115, 121.2449304 14.1778623)",30.0,,,,,,,
1330418541,footway,,,,False,False,34.739830656895656,"LINESTRING (121.2449298 14.1778115, 121.2452468 14.1777554)",30.0,,,,,,,
"[49551232, 33514952]",footway,,,,False,True,156.09937534700185,"LINESTRING (121.2449298 14.1778115, 121.2449283 14.1776814, 121.244945 14.1775328, 121.2449656 14.1774133, 121.245077 14.177062, 121.2451145 14.1768294, 121.2449901 14.1767809, 121.2448987 14.1767303, 121.2447526 14.1766398)",30.0,,,,,,,
1330418541,footway,,,,False,True,83.02032801813874,"LINESTRING (121.2449298 14.1778115, 121.2448623 14.1778235, 121.2443849 14.1779203, 121.2441749 14.1779588)",30.0,,,,,,,
161838772,footway,,,,False,True,6.7769557151433695,"LINESTRING (121.2455275 14.1777022, 121.2455058 14.1777594)",30.0,,,,,,,
1330418541,footway,,,,False,False,43.54555153987302,"LINESTRING (121.2455275 14.1777022, 121.2459239 14.177627)",30.0,,,,,,,
1330418541,footway,,,,False,True,30.83451745591697,"LINESTRING (121.2455275 14.1777022, 121.2452468 14.1777554)",30.0,,,,,,,
161838772,footway,,,,False,False,88.60630036657875,"LINESTRING (121.2455275 14.1777022, 121.2456469 14.1773867, 121.2458361 14.176964)",30.0,,,,,,,
215521858,footway,,,,False,True,6.784161181393355,"LINESTRING (121.2461 14.1775991, 121.2461038 14.17766)",30.0,,,,,,,
1330418541,footway,,,,False,False,28.902237647965837,"LINESTRING (121.2461 14.1775991, 121.2463646 14.1775573)",30.0,,,,,,,
1330418541,footway,,,,False,True,19.236832148451423,"LINESTRING (121.2461 14.1775991, 121.2459239 14.177627)",30.0,,,,,,,
