bldg_id,name,x_coord,y_coord,category
353,Buy The Way Community Store,64.39366809756787,60.13165351441948,commercial
354,Unnamed,64.32917707282259,60.32017453344617,special
355,Trese Siyete,63.54195249676855,54.182349453435464,commercial
356,Electrical Engineering Auditorium,72.77765634035235,41.89310481506645,miscellaneous
357,Unnamed,72.78959338098574,42.20610539487968,transport
358,Unnamed,73.02476858419219,42.33975713382586,transport
359,Bonchon,66.93501754124527,57.041120840171764,commercial
360,Aby & AJ Store,62.8657268960087,53.931097287329735,commercial
361,Epay's Store,62.97812110980217,53.53177995944473,commercial
362,La Niña Bea Canteen,62.967269254682904,53.56027922730973,commercial
363,Lord Rich Snack & Food Haus,62.87084277057217,53.90767547523468,commercial
364,PJ & CJ Store,62.882934837720164,53.878521051787686,commercial
365,Super Cup,63.01594757623803,52.775239049893116,commercial
366,Tess & Ylloy's Canteen,63.01703276175217,53.44054954450359,commercial
367,eLBi Convenience Store,63.02431900734389,53.38797330896155,commercial
368,Unnamed,61.411888362307366,50.54820143413523,school
369,Super Cup,67.3476980889828,54.22051226615024,commercial
370,Laundry Best,67.33219543879983,55.19489240707319,commercial
371,Minute Burger,67.32103353067338,55.23223627530829,commercial
372,Marya Fountain,65.75449073019342,38.717401915019096,miscellaneous
373,Ador Locksmith,67.37885841584131,54.27521775733596,commercial
374,Fiorgelato,66.87564239106345,53.41548984345209,commercial
375,Bubble G Milk Tea,67.31405733811087,53.059576572946575,commercial
376,Little Kids Mini Store,67.09640012960105,53.79269567040604,commercial
377,Starbucks,66.29956391045648,52.53938303998912,commercial
378,Sizzlers Take-Out Counter,67.26909965257586,54.08374853818301,commercial
379,Bestprint Copy Center,67.39265577449578,54.30846690317846,commercial
380,J. Deanon Bike Rental,62.800925818278266,52.53905546219667,transport
381,Unnamed,60.41274255834337,45.16675347478135,miscellaneous
382,Unnamed,61.1264845725319,45.190666653563625,miscellaneous
383,Unnamed,60.25864621557931,45.2491392893524,miscellaneous
384,Unnamed,60.4285552615115,45.31170664753667,miscellaneous
385,Unnamed,60.20826260249568,45.31645652551417,miscellaneous
386,Unnamed,60.36700974032344,45.364119094181035,miscellaneous
387,Unnamed,60.33507428095799,45.43634999721508,miscellaneous
388,Unnamed,60.30995998766247,45.49269337736017,miscellaneous
389,Unnamed,60.27740442228263,45.56623459156113,miscellaneous
390,Unnamed,61.01036972269629,45.60865591556327,miscellaneous
391,Unnamed,61.55389263794545,45.87104572658336,miscellaneous
392,Aling Glo's Restaurant,67.4955933716913,54.75757605537402,commercial
393,Zagu,67.50877062433139,54.719085664869695,commercial
394,Move Your Body,67.38490444940429,55.081222913411466,commercial
395,FRSS Computers,65.19313976724047,60.06466385605016,commercial
396,Fresh Options,65.12384292093888,60.06433627825771,commercial
397,Healthy Hammie,65.2236799880846,60.06253460040357,commercial
398,Rainspot Trading,65.0821407919683,60.06220702261403,commercial
399,Orange Laundry,65.10927042977748,60.5539012877094,commercial
400,Jhon Astro Salon by Grace,67.41963038581238,55.01308673277292,commercial
401,Rem's,66.10283527970027,61.18678158095704,commercial
402,Cyndy's Jewelry Repair,66.10128501466436,61.238866449808945,commercial
403,Mighty Wind Wet & Dry Laundry Shop,66.09849453764376,61.28145156270877,commercial
404,Princess Amber Internet,78.15351034259612,66.93953896701524,commercial
405,Trailhead Cycle Center,74.66665426453667,67.60730629506185,commercial
406,Unnamed,79.0647561200478,67.03928640453984,transport
407,JRS Express,65.74379390156673,69.29302161030569,commercial
408,Bugel's,67.76239398125601,55.467928496320425,commercial
409,Tita Norms Special Bulalo,68.18499622511328,55.47202321871302,commercial
410,Moonleaf,67.18740068614115,53.51605622545345,commercial
411,Office of the Vice Chancellor for Student Affairs,63.25685876000028,44.748109057199706,commercial
412,Unnamed,60.676752690865456,45.043748014059396,miscellaneous
413,Unnamed,60.63722093292312,45.07748852658912,miscellaneous
414,Unnamed,60.75984689582149,45.15659856324435,miscellaneous
415,Unnamed,61.13222055310974,45.175106708467126,miscellaneous
416,Unnamed,60.728066462970645,45.19541653154113,miscellaneous
417,V Way Computer Shop,65.64519704642774,69.19130870603509,commercial
418,Unnamed,64.83068780607195,69.50922295272059,commercial
419,Angel's Hamburger,66.06531886624957,60.40206898133289,commercial
420,Ferd's Grill,67.01904190522285,60.27709805385912,commercial
421,PCBS,66.60682643698509,57.296795306465455,commercial
422,RUS Lights & Sounds,66.55690790340122,57.41685256706405,commercial
423,Satya Graha Cafe,67.19360174621873,62.32151105083705,commercial
424,Cafe Ella,67.07376626034097,56.79134277412481,commercial
425,Dragon King KTV,68.5440376032248,54.77968755630215,commercial
426,Eatsumo Teri Haus,67.5597743434294,55.49135030841548,commercial
427,iCustomize,67.81711833637412,55.600433712997386,commercial
428,Galuz Grill,68.58915031525238,54.95281241913001,commercial
429,Unnamed,68.65550165799671,54.78820457888269,miscellaneous
430,Go BALD,66.44280839810128,56.370077734209346,commercial
431,Big Belly's Express,67.20259328331693,55.466126818466286,commercial
432,DHL,64.96416562411162,69.51905028646806,miscellaneous
433,Big Smile Bread Station,64.87549046509235,69.50611096370245,commercial
434,Antik Thrift Shop,65.74658437860936,63.34355376042979,commercial
435,Sheila May's Blossoms Flower & Gift Shop,65.4880001736359,64.52086834320963,commercial
436,Sean Nathan's Pastry Shop,65.4697070464103,64.57737551224949,commercial
