source_node_id,target_node_id,road_length,road_type,name,one-way,max_speed,access,lanes
253765458,8292796619,192.5940147502381,service,Unnamed,False,25.85,private,2
253765458,2352985489,56.975245620581944,service,Unnamed,False,25.85,private,2
253765821,290582888,196.61889906827196,residential,Unnamed,False,40.0,Uncategorized,2
253765821,253502688,58.50623204892273,residential,Kamagong Street,False,30.0,Uncategorized,
253765821,1119827610,79.06173394617221,residential,Unnamed,False,30.0,Uncategorized,
253767765,5618944078,43.66461560772935,tertiary,Hilario T. Apolinario,False,33.15,Uncategorized,
253767765,5618936900,65.02078141572765,residential,Unnamed,False,31.86,Uncategorized,
253767765,253502318,106.41766007042453,tertiary,Hilario T. Apolinario,False,33.15,Uncategorized,
253768787,12254024698,4.994054462863926,unclassified,Agapita Road,False,30.0,destination,2
253768787,253795223,6.046268876134749,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253768787,12257218665,57.379566409090046,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253769551,8896459258,84.29497893995166,residential,Lajarca,False,31.86,Uncategorized,
253770770,606307094,44.427831880355036,residential,Mariano M. Mondoñedo Avenue,False,35.0,Uncategorized,2
253770770,527829640,17.405497243219823,service,Unnamed,False,25.85,Uncategorized,
253770770,253787306,70.96521036188634,residential,Mariano M. Mondoñedo Avenue,False,35.0,Uncategorized,2
253770770,1119827875,84.40815460667027,service,Unnamed,False,25.85,private,
253771091,253790207,117.71571722783551,residential,Dao Street,False,31.86,Uncategorized,
253771091,253790735,43.62171792829302,residential,Ipil-Ipil Street,False,31.86,Uncategorized,
253771091,1119866132,53.19139853470198,residential,Ipil-Ipil Street,False,31.86,Uncategorized,
253771507,12186673208,5.37408106426089,residential,Francisco O. Santos Street,False,40.0,Uncategorized,2
253771507,1323145446,23.295602559104896,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253771507,2385949410,47.76445115960448,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253772405,1342899162,42.9996984812904,residential,Unnamed,False,31.86,private,
253772405,253790092,221.47949382932967,residential,Unnamed,False,31.86,private,
253772405,253800534,166.61780487631637,residential,Unnamed,False,31.86,private,
253778898,5305200807,135.61280920297924,path,Unnamed,False,30.0,Uncategorized,
253778898,638898788,303.03230802297963,residential,Unnamed,False,30.0,Uncategorized,1
253778898,253804057,584.0036374736869,path,Unnamed,False,30.0,Uncategorized,
253779176,12186673202,5.268230202607514,footway,Unnamed,False,30.0,Uncategorized,
253779176,12186673191,4.468825396840435,footway,Unnamed,False,30.0,Uncategorized,
253779176,471322033,33.97568334282205,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253779176,253509347,36.28683159920633,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253779567,1342055565,42.86300645877853,tertiary,B. A. Villanueva,False,33.15,Uncategorized,
253779567,8887041584,64.72281922640298,tertiary,B. A. Villanueva,False,33.15,Uncategorized,
253779567,7874284542,294.2554032031794,path,Unnamed,False,30.0,Uncategorized,
253781169,253802027,393.1149423516837,service,Unnamed,False,25.85,private,
253781169,1492184010,62.99936709554078,service,Unnamed,False,25.85,private,
253781169,8894303946,48.24370355597665,service,Unnamed,False,25.85,private,
253781337,253492328,28.23834284947545,tertiary,Unnamed,False,33.15,Uncategorized,
253781337,253806107,194.1640876193554,tertiary,Unnamed,False,33.15,Uncategorized,
253781337,454088232,40.473477663258834,service,Unnamed,False,25.85,Uncategorized,
253781351,3751483239,114.90798029656453,service,Road 26 North,False,25.85,private,2
253781351,1532188467,117.3681267411718,service,Road 26 North,False,25.85,private,2
253781351,1285602547,135.8816149625002,service,Unnamed,False,25.85,private,
253781351,8893797464,209.77369210341251,service,Unnamed,False,25.85,private,
253782036,8305455308,55.07611345659579,residential,Lajarca,False,31.86,Uncategorized,
253782036,8887165462,4.353183743594206,residential,Lajarca,False,31.86,Uncategorized,
253782036,8305455312,140.51856009744952,residential,Unnamed,False,31.86,Uncategorized,
253782194,8292788816,190.3307504230387,service,Unnamed,False,25.85,private,1
253782194,8893797451,209.77113039168233,service,Unnamed,False,25.85,private,1
253782194,253765458,115.27142508037743,unclassified,Road 14 North,False,33.07,private,2
253782194,1143684061,94.21387122183643,unclassified,Road 14 North,False,33.07,private,2
253782808,427966109,66.40533882019291,unclassified,Daang Kalabaw,False,40.0,Uncategorized,2
253782808,382044812,170.58057539431883,unclassified,Bangkal Road,False,40.0,Uncategorized,2
253782808,253496358,125.44139090091977,unclassified,Bangkal Road,False,40.0,Uncategorized,"['2', '1']"
253782873,10910516562,1.7495418210584615,tertiary,J. Aquino Street,False,33.15,Uncategorized,
253782873,12309592335,9.054729019497014,unclassified,Bangkal Extension,False,30.0,Uncategorized,
253782873,1801370349,16.042252769873237,tertiary,J. Aquino Street,False,33.15,Uncategorized,2
253782965,1342896234,75.88750562121376,residential,Unnamed,False,31.86,private,
253782965,1342899135,66.43573652879489,residential,Unnamed,False,31.86,private,
253782965,1342896239,137.94627085558352,residential,Unnamed,False,31.86,private,
253783708,1126043025,9.672471638010153,service,Unnamed,False,25.85,Uncategorized,
253783708,382824762,84.77891125808958,tertiary,Jose B. Juliano Avenue,False,33.15,Uncategorized,2
253783708,12254040061,61.35275905374984,tertiary,Jose B. Juliano Avenue,False,33.15,Uncategorized,2
253784430,3730080060,51.835792082936685,residential,Lajarca,False,31.86,Uncategorized,
253784430,3730080061,114.26134471181348,residential,Unnamed,False,31.86,Uncategorized,
253784430,253508843,76.17439115374955,residential,Lajarca,False,31.86,Uncategorized,
253784840,945031147,488.77973467339535,unclassified,Ibarang Road,False,33.07,Uncategorized,2
253784840,945031132,45.57481706409563,unclassified,Ibarang Road,False,33.07,Uncategorized,2
253784840,945031132,135.45087514069724,service,Unnamed,False,25.85,Uncategorized,
253787306,253510495,38.45315395541536,residential,Mariano M. Mondoñedo Avenue,False,35.0,Uncategorized,2
253787306,638899293,20.204109580490996,service,Unnamed,False,25.85,Uncategorized,
253787306,253770770,70.96521036188634,residential,Mariano M. Mondoñedo Avenue,False,35.0,Uncategorized,2
253788571,945031035,11.163684118675125,unclassified,Unnamed,False,33.07,Uncategorized,
253788571,945030934,19.430016336235717,service,Unnamed,False,25.85,Uncategorized,
253788571,1711050168,249.75308392595153,unclassified,Unnamed,False,33.07,Uncategorized,
253789150,253799545,120.79001431614637,service,Road 26 North,False,25.85,private,2
253789150,2352985610,88.75460901420234,service,Road 26 North,False,25.85,private,2
253789150,8893797451,121.71666333393176,service,Unnamed,False,25.85,private,1
253789150,8292788810,174.73142069090667,service,Unnamed,False,25.85,private,1
253789717,1342895793,41.874957777193224,residential,Juan Luna Extension,False,31.86,Uncategorized,
253789717,12718893596,26.36533481186677,footway,Unnamed,False,30.0,Uncategorized,
253789717,12718893595,45.06802695319318,steps,Juan Luna Extension,False,30.49,Uncategorized,
253790092,253503176,49.042030028647886,residential,Unnamed,False,31.86,private,
253790092,1127246041,48.52893984627705,residential,Unnamed,False,31.86,private,
253790092,253772405,221.47949382932967,residential,Unnamed,False,31.86,private,
253790092,1342896229,109.07134734846599,residential,Unnamed,False,31.86,private,
253790207,253771091,117.71571722783551,residential,Dao Street,False,31.86,Uncategorized,
253790207,290583039,123.52250006249417,residential,Unnamed,False,31.86,Uncategorized,
253790207,1119866237,67.73087453169643,residential,Unnamed,False,31.86,Uncategorized,
253790732,8332301420,8.685417588332369,residential,Unnamed,False,30.0,Uncategorized,1
253790735,253801775,54.86842416130126,residential,Apitong Street,False,31.86,Uncategorized,
253790735,253771091,43.62171792829302,residential,Ipil-Ipil Street,False,31.86,Uncategorized,
253790735,290583039,42.72898865769034,residential,Ipil-Ipil Street,False,31.86,Uncategorized,
253790905,382055691,59.82864083992506,residential,Unnamed,False,30.0,Uncategorized,1
253790905,1889685010,44.94422859879093,residential,Unnamed,False,30.0,Uncategorized,1
253790905,2039759370,56.30076601575122,residential,Unnamed,False,31.86,Uncategorized,
253792494,1711050168,14.513982442209333,unclassified,Ibarang Road,False,33.07,Uncategorized,2
253792494,1711050169,15.922852516913727,residential,Unnamed,False,31.86,Uncategorized,
253792494,945031035,78.29703282690969,unclassified,Unnamed,False,33.07,Uncategorized,
253794266,432493201,157.30600297313575,residential,Diamond Street,False,40.0,Uncategorized,2
253794266,418627328,74.1542140033203,residential,Diamond Street,False,40.0,Uncategorized,2
253794266,12186673218,63.85892870994928,residential,Halcon Street,False,40.0,Uncategorized,2
253794266,385706591,29.016001653457153,residential,Halcon Street,False,40.0,Uncategorized,2
253794765,1119866132,63.16218044961687,residential,Ipil-Ipil Street,False,31.86,Uncategorized,
253794765,253502688,64.19721958223857,residential,Kamagong Street,False,30.0,Uncategorized,
253794765,1119866609,180.28804359703832,residential,Kamagong Street,False,30.0,Uncategorized,
253795223,12186673218,4.4957139741906085,residential,Halcon Street,False,40.0,Uncategorized,2
253795223,571851691,14.41382243189934,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253795223,253768787,6.046268876134749,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253797111,427963808,30.782229113156475,residential,Jose Street,False,30.0,Uncategorized,2
253797111,11350349107,88.03192723407665,residential,Bangkal Road,False,40.0,Uncategorized,2
253797111,778906359,11.796053055395726,residential,Bangkal Road,False,40.0,Uncategorized,2
253797515,253503176,78.03054509950974,residential,Unnamed,False,31.86,private,
