y,x,street_count,highway,railway,junction,geometry
14.1685881,121.2421046,1,,,,POINT (121.2421046 14.1685881)
14.1684969,121.2418348,3,,,,POINT (121.2418348 14.1684969)
14.1684464,121.2416992,3,,,,POINT (121.2416992 14.1684464)
14.1685561,121.2416472,1,,,,POINT (121.2416472 14.1685561)
14.1687236,121.241787,1,,,,POINT (121.241787 14.1687236)
14.1695531,121.2442301,3,bus_stop,,,POINT (121.2442301 14.1695531)
14.1754208,121.2420172,3,,,,POINT (121.2420172 14.1754208)
14.1762807,121.2408288,3,,,,POINT (121.2408288 14.1762807)
14.1761737,121.2405623,3,,,,POINT (121.2405623 14.1761737)
14.176138,121.2403714,3,,,,POINT (121.2403714 14.176138)
14.1763908,121.2403862,3,,,,POINT (121.2403862 14.1763908)
14.1762401,121.2405112,3,,,,POINT (121.2405112 14.1762401)
14.1752524,121.2414946,3,,,,POINT (121.2414946 14.1752524)
14.1757278,121.2404999,3,,,,POINT (121.2404999 14.1757278)
14.1666297,121.2436513,3,,,,POINT (121.2436513 14.1666297)
14.1675208,121.2416976,3,,,,POINT (121.2416976 14.1675208)
14.1658858,121.2455087,1,,,,POINT (121.2455087 14.1658858)
14.1633699,121.243436,3,,,,POINT (121.243436 14.1633699)
14.1639502,121.2425161,3,,,,POINT (121.2425161 14.1639502)
14.1646363,121.2425096,3,,,,POINT (121.2425096 14.1646363)
14.1646731,121.2425784,3,,,,POINT (121.2425784 14.1646731)
14.1654587,121.2421926,3,,,,POINT (121.2421926 14.1654587)
14.1667608,121.2423714,3,,,,POINT (121.2423714 14.1667608)
14.1651139,121.2425427,3,,,,POINT (121.2425427 14.1651139)
14.1653349,121.2424541,3,,,,POINT (121.2424541 14.1653349)
14.1712862,121.2428881,1,,,,POINT (121.2428881 14.1712862)
14.1712221,121.2426836,3,,,,POINT (121.2426836 14.1712221)
14.1655268,121.242374,4,,,,POINT (121.242374 14.1655268)
14.1661593,121.2441603,3,,,,POINT (121.2441603 14.1661593)
14.1661397,121.2440741,4,crossing,,,POINT (121.2440741 14.1661397)
14.1660837,121.2438561,4,,,,POINT (121.2438561 14.1660837)
14.1673751,121.2434406,3,,,,POINT (121.2434406 14.1673751)
14.167276,121.2435875,3,,,,POINT (121.2435875 14.167276)
14.1668228,121.2438551,4,,,,POINT (121.2438551 14.1668228)
14.1670105,121.2422746,4,,,,POINT (121.2422746 14.1670105)
14.167286,121.2431886,3,,,,POINT (121.2431886 14.167286)
14.1674173,121.2432688,3,,,,POINT (121.2432688 14.1674173)
